title,description,author,isbn10,isbn13,publish_date,edition,best_seller,top_rated ,rating,review_count,price,,,,,,,,,,,,,,
The Staff Engineer's Path,A Guide for Individual Contributors Navigating Growth and Change, Tanya Reilly,1098118731,978-1098118730,2022-10-25,1,Yes,No,4.7,189,$31.99,,,,,,,,,,,,,,
Cracking the Coding Interview,189 Programming Questions and Solutions,Gayle Laakmann McDowell,984782869,978-0984782857,2015-07-01,6,Yes,No,4.7,8334,$33.21,,,,,,,,,,,,,,
"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming",Eric Matthes,1718502702,978-1718502703,2023-01-10,3,Yes,No,4.8,165,$30.61,,,,,,,,,,,,,,
The Pragmatic Programmer,"20th Anniversary Edition, 2nd Edition: Your Journey to Mastery",David Thomas,,978-0135957059,2019-09-13,2,Yes,No,4.8,2521,$38.00,,,,,,,,,,,,,,
Clean Code,A Handbook of Agile Software Craftsmanship, Robert C. Martin,,978-0132350884,2008-08-01,1,Yes,No,4.7,5639,$40.00,,,,,,,,,,,,,,
System Design Interview – An Insider's Guide,Volume 2, Alex Xu,1736049119,978-1736049112,2022-03-11,,Yes,No,4.7,1029,$33.45,,,,,,,,,,,,,,
"Automate the Boring Stuff with Python, 2nd Edition",Practical Programming for Total Beginners,Al Sweigart,1593279922,978-1593279929,2019-11-12,2,Yes,No,4.7,2858,$29.99,,,,,,,,,,,,,,
The Manager's Path,A Guide for Tech Leaders Navigating Growth and Change,Camille Fournier,1491973897,978-1491973899,2017-05-02,1,Yes,No,4.6,2504,$30.49,,,,,,,,,,,,,,
Design Patterns,Elements of Reusable Object-Oriented Software,Erich Gamma,201633612,978-0201633610,1994-10-31,1,Yes,No,4.7,2321,$45.32,,,,,,,,,,,,,,
Python Programming for Beginners,The Complete Guide to Mastering Python in 7 Days with Hands-On Exercises – Top Secret Coding Tips to Get an Unfair Advantage and Land Your Dream Job!, Philip Robbins,,979-8376161821,2023-02-04,,Yes,No,4.8,2187,$23.72,,,,,,,,,,,,,,
The Pragmatic Programmer,"Your Journey To Mastery, 20th Anniversary Edition (2nd Edition)",David Thomas,135957052,978-0135957059,2019-09-13,2,Yes,No,4.8,2522,$38.00,,,,,,,,,,,,,,
Staff Engineer,Leadership beyond the management track,Will Larson,1736417916,978-1736417911,2021-01-31,,Yes,No,4.5,775,$21.43,,,,,,,,,,,,,,
"Python Crash Course, 3rd Edition","A Hands-On, Project-Based Introduction to Programming", Eric Matthes,1718502702,978-1718502703,2023-01-10,3,Yes,No,4.8,199,$30.61,,,,,,,,,,,,,,
Python Programming Language ,, Berajah Jayne,1423241886,978-1423241881,2019-05-01,1,Yes,No,4.6,1752,$7.95,,,,,,,,,,,,,,
"Hands-On Machine Learning with Scikit-Learn, Keras, and TensorFlow","Concepts, Tools, and Techniques to Build Intelligent Systems",Aurélien Géron ,1098125975,978-1098125974,2022-11-08,3,Yes,No,4.7,151,$49.99,,,,,,,,,,,,,,
Sql Guide (Quick Study,SQL),Inc. BarCharts,1572229160,978-1572229167,2005-01-01,1,Yes,No,4.5,1782,$4.95,,,,,,,,,,,,,,
