nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitle,tconst_x,averageRating,numVotes,tconst_y,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,Musical,Comedy,Biography,Horror,Fantasy,History,Action,Sci-Fi,Adventure,Thriller,Mystery,Family,Crime,Drama,Romance
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack",tt0325980,tt0325980,8.1,1186432,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack",tt0449088,tt0449088,7.1,681989,tt0449088,movie,Pirates of the Caribbean: At World's End,Pirates of the Caribbean: At World's End,0,2007,\N,169,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack",tt0408236,tt0408236,7.3,382691,tt0408236,movie,Sweeney Todd: The Demon Barber of Fleet Street,Sweeney Todd: The Demon Barber of Fleet Street,0,2007,\N,116,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack",tt0367594,tt0367594,6.7,513266,tt0367594,movie,Charlie and the Chocolate Factory,Charlie and the Chocolate Factory,0,2005,\N,115,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer",tt0083987,tt0083987,8.0,238386,tt0083987,movie,Gandhi,Gandhi,0,1982,\N,191,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer",tt0108052,tt0108052,9.0,1422164,tt0108052,movie,Schindler's List,Schindler's List,0,1993,\N,195,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer",tt0203119,tt0203119,7.3,65449,tt0203119,movie,Sexy Beast,Sexy Beast,0,2000,\N,89,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer",tt1300854,tt1300854,7.1,887185,tt1300854,movie,Iron Man 3,Iron Man Three,0,2013,\N,130,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0
nm0001426,Ben Kingsley,1943,\N,"actor,soundtrack,producer",tt0107151,tt0107151,6.9,24548,tt0107151,movie,The House of the Spirits,The House of the Spirits,0,1993,\N,145,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
nm0424060,Scarlett Johansson,1984,\N,"actress,soundtrack,producer",tt0335266,tt0335266,7.7,479601,tt0335266,movie,Lost in Translation,Lost in Translation,0,2003,\N,102,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
