nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles,films_tv_participated,tconst_x,averageRating,numVotes,tconst_y,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0107387,tt0107387,4.8,29649,tt0107387,movie,Leprechaun,Leprechaun,0,1992,\N,92,"Comedy,Fantasy,Horror"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0116141,tt0116141,6.0,2912,tt0116141,movie,Dream for an Insomniac,Dream for an Insomniac,0,1996,\N,90,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0117628,tt0117628,6.0,18345,tt0117628,movie,She's the One,She's the One,0,1996,\N,96,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0119896,tt0119896,5.5,21220,tt0119896,movie,Picture Perfect,Picture Perfect,0,1997,\N,101,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0120772,tt0120772,6.0,21250,tt0120772,movie,The Object of My Affection,The Object of My Affection,0,1998,\N,111,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0129167,tt0129167,8.1,220024,tt0129167,movie,The Iron Giant,The Iron Giant,0,1999,\N,86,"Action,Adventure,Animation"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0151804,tt0151804,7.6,282662,tt0151804,movie,Office Space,Office Space,0,1999,\N,89,Comedy
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0171825,tt0171825,3.4,423,tt0171825,movie,The Thin Pink Line,The Thin Pink Line,0,1998,\N,106,Comedy
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0202470,tt0202470,6.3,44885,tt0202470,movie,Rock Star,Rock Star,0,2001,\N,105,"Drama,Music"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0279113,tt0279113,6.4,46826,tt0279113,movie,The Good Girl,The Good Girl,0,2002,\N,93,"Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0315327,tt0315327,6.8,425594,tt0315327,movie,Bruce Almighty,Bruce Almighty,0,2003,\N,101,"Comedy,Fantasy"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0343135,tt0343135,6.0,142192,tt0343135,movie,Along Came Polly,Along Came Polly,0,2004,\N,90,"Comedy,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0398017,tt0398017,6.6,75784,tt0398017,movie,Derailed,Derailed,0,2005,\N,108,"Crime,Drama,Thriller"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0398375,tt0398375,5.5,60998,tt0398375,movie,Rumor Has It...,Rumor Has It...,0,2005,\N,97,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0436331,tt0436331,5.8,31866,tt0436331,movie,Friends with Money,Friends with Money,0,2006,\N,88,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0452594,tt0452594,5.8,137559,tt0452594,movie,The Break-Up,The Break-Up,0,2006,\N,106,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0822832,tt0822832,7.0,165672,tt0822832,movie,Marley & Me,Marley & Me,0,2008,\N,111,"Drama,Family"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0889573,tt0889573,6.1,111051,tt0889573,movie,The Switch,The Switch,0,2010,\N,101,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt0899106,tt0899106,5.7,33793,tt0899106,movie,Love Happens,Love Happens,0,2009,\N,109,"Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1001508,tt1001508,6.4,180402,tt1001508,movie,He's Just Not That Into You,He's Just Not That Into You,0,2009,\N,129,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1038919,tt1038919,5.5,133110,tt1038919,movie,The Bounty Hunter,The Bounty Hunter,0,2010,\N,110,"Action,Comedy,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1082853,tt1082853,5.8,18242,tt1082853,movie,Management,Management,0,2008,\N,94,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt12179456,tt12179456,5.6,17,tt12179456,movie,Brad Pitt & Jennifer Aniston: Hollywood's Couple of the Year,Brad Pitt & Jennifer Aniston: Hollywood's Couple of the Year,0,2000,\N,51,Documentary
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt15255288,tt15255288,5.7,64115,tt15255288,movie,Murder Mystery 2,Murder Mystery 2,0,2023,\N,90,"Action,Comedy,Crime"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1564367,tt1564367,6.4,260648,tt1564367,movie,Just Go with It,Just Go with It,0,2011,\N,117,"Comedy,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1618434,tt1618434,6.0,163239,tt1618434,movie,Murder Mystery,Murder Mystery,0,2019,\N,97,"Action,Comedy,Crime"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1655460,tt1655460,5.6,79458,tt1655460,movie,Wanderlust,Wanderlust,0,2012,\N,98,"Comedy,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1663207,tt1663207,5.8,19996,tt1663207,movie,Life of Crime,Life of Crime,0,2013,\N,98,"Comedy,Crime"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1711525,tt1711525,5.9,85799,tt1711525,movie,Office Christmas Party,Office Christmas Party,0,2016,\N,105,Comedy
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1723121,tt1723121,7.0,478186,tt1723121,movie,We're the Millers,We're the Millers,0,2013,\N,110,"Comedy,Crime"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt1767372,tt1767372,6.1,28393,tt1767372,movie,She's Funny That Way,She's Funny That Way,0,2014,\N,93,"Comedy,Drama"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt2170439,tt2170439,6.3,182137,tt2170439,movie,Horrible Bosses 2,Horrible Bosses 2,0,2014,\N,108,"Comedy,Crime"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt3442006,tt3442006,6.4,38588,tt3442006,movie,Cake,Cake,0,2014,\N,102,Drama
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt4624424,tt4624424,6.8,66395,tt4624424,movie,Storks,Storks,0,2016,\N,87,"Adventure,Animation,Comedy"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt4824302,tt4824302,5.6,39243,tt4824302,movie,Mother's Day,Mother's Day,0,2016,\N,118,"Comedy,Drama,Romance"
nm0000098,Jennifer Aniston,1969,\N,"actress,producer,soundtrack","tt0279113,tt0108778,tt3442006,tt1723121",tt4878482,tt4878482,6.5,36692,tt4878482,movie,Dumplin',Dumplin',0,2018,\N,110,"Comedy,Drama"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0087800,tt0087800,7.4,258287,tt0087800,movie,A Nightmare on Elm Street,A Nightmare on Elm Street,0,1984,\N,91,Horror
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0089839,tt0089839,5.2,9060,tt0089839,movie,Private Resort,Private Resort,0,1985,\N,82,Comedy
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0099329,tt0099329,6.5,63939,tt0099329,movie,Cry-Baby,Cry-Baby,0,1990,\N,85,"Comedy,Musical"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0099487,tt0099487,7.9,515557,tt0099487,movie,Edward Scissorhands,Edward Scissorhands,0,1990,\N,105,"Drama,Fantasy,Romance"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0106307,tt0106307,7.2,45213,tt0106307,movie,Arizona Dream,Arizona Dream,0,1993,\N,142,"Comedy,Drama,Fantasy"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0106387,tt0106387,7.1,61195,tt0106387,movie,Benny & Joon,Benny & Joon,0,1993,\N,98,"Comedy,Drama,Romance"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0108550,tt0108550,7.7,250202,tt0108550,movie,What's Eating Gilbert Grape,What's Eating Gilbert Grape,0,1993,\N,118,Drama
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0109707,tt0109707,7.8,182302,tt0109707,movie,Ed Wood,Ed Wood,0,1994,\N,127,"Biography,Comedy,Drama"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0112817,tt0112817,7.5,101883,tt0112817,movie,Dead Man,Dead Man,0,1995,\N,121,"Adventure,Drama,Fantasy"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0112883,tt0112883,6.7,52785,tt0112883,movie,Don Juan DeMarco,Don Juan DeMarco,0,1994,\N,97,"Comedy,Drama,Romance"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0113972,tt0113972,6.3,44686,tt0113972,movie,Nick of Time,Nick of Time,0,1995,\N,90,"Action,Crime,Drama"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0118768,tt0118768,6.1,10695,tt0118768,movie,The Brave,The Brave,0,1997,\N,123,Drama
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0119008,tt0119008,7.7,326256,tt0119008,movie,Donnie Brasco,Donnie Brasco,0,1997,\N,127,"Biography,Crime,Drama"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0120669,tt0120669,7.5,297579,tt0120669,movie,Fear and Loathing in Las Vegas,Fear and Loathing in Las Vegas,0,1998,\N,118,"Adventure,Comedy,Drama"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0120681,tt0120681,6.7,162598,tt0120681,movie,From Hell,From Hell,0,2001,\N,122,"Horror,Mystery,Thriller"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0121164,tt0121164,7.4,294132,tt0121164,movie,Corpse Bride,Corpse Bride,0,2005,\N,77,"Animation,Drama,Family"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0138304,tt0138304,5.4,57039,tt0138304,movie,The Astronaut's Wife,The Astronaut's Wife,0,1999,\N,109,"Drama,Sci-Fi,Thriller"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0142688,tt0142688,6.7,194571,tt0142688,movie,The Ninth Gate,The Ninth Gate,0,1999,\N,133,"Mystery,Thriller"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0162661,tt0162661,7.3,379232,tt0162661,movie,Sleepy Hollow,Sleepy Hollow,0,1999,\N,105,"Fantasy,Horror,Mystery"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0181833,tt0181833,7.2,839,tt0181833,movie,The Source,The Source: The Story of the Beats and the Beat Generation,0,1999,\N,88,"Biography,Documentary,History"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0221027,tt0221027,7.5,271772,tt0221027,movie,Blow,Blow,0,2001,\N,124,"Biography,Crime,Drama"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0241303,tt0241303,7.3,199334,tt0241303,movie,Chocolat,Chocolat,0,2000,\N,121,"Drama,Romance"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0247196,tt0247196,7.1,26163,tt0247196,movie,Before Night Falls,Before Night Falls,0,2000,\N,133,"Biography,Drama,Romance"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0285823,tt0285823,6.3,168053,tt0285823,movie,Once Upon a Time in Mexico,Once Upon a Time in Mexico,0,2003,\N,102,"Action,Crime,Thriller"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0308644,tt0308644,7.7,210809,tt0308644,movie,Finding Neverland,Finding Neverland,0,2004,\N,106,"Biography,Drama,Family"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0325980,tt0325980,8.1,1186432,tt0325980,movie,Pirates of the Caribbean: The Curse of the Black Pearl,Pirates of the Caribbean: The Curse of the Black Pearl,0,2003,\N,143,"Action,Adventure,Fantasy"
nm0000136,Johnny Depp,1963,\N,"actor,producer,soundtrack","tt0325980,tt0449088,tt0408236,tt0367594",tt0363988,tt0363988,6.5,206942,tt0363988,movie,Secret Window,Secret Window,0,2004,\N,96,"Drama,Mystery,Thriller"
