primaryName,tconst_x,averageRating,numVotes,titleType,primaryTitle,isAdult,runtimeMinutes
Michael Johnson,tt0159163,8.1,42,tvSeries,The Expert,0,50
Michael Johnson,tt0057757,7.9,175,tvSeries,The Human Jungle,0,60
Michael Johnson,tt0159897,7.1,38,tvSeries,The Newcomers,0,30
Michael Johnson,tt0064030,7.4,7999,movie,Anne of the Thousand Days,0,145
Michael Johnson,tt0103460,6.5,2583,tvSeries,Kung Fu: The Legend Continues,0,60
Michael Johnson,tt0103460,6.5,2583,tvSeries,Kung Fu: The Legend Continues,0,60
Michael Johnson,tt4049416,5.2,205,tvSeries,Lego Friends,0,4
Michael Johnson,tt0113048,4.4,349,movie,Felony,0,93
Michael Johnson,tt0081485,6.5,1117,movie,Serial,0,86
Michael Johnson,tt0084886,5.7,230,movie,Waltz Across Texas,0,99
Michael Johnson,tt0088892,6.1,243,movie,Cease Fire,0,97
Michael Johnson,tt0100150,7.7,140319,movie,Miller's Crossing,0,115
Michael Johnson,tt0102138,8.0,167188,movie,JFK,0,189
Michael Johnson,tt0105323,8.0,321469,movie,Scent of a Woman,0,156
Michael Johnson,tt0181984,7.0,55864,movie,Boiler Room,0,120
Michael Johnson,tt0118541,5.4,10965,movie,8 Heads in a Duffel Bag,0,95
Michael Johnson,tt0265859,5.5,1400,movie,Tempted,0,95
Michael Johnson,tt0251951,4.1,529,movie,Pretty Cool,0,92
Michael Johnson,tt0096734,6.8,81756,movie,The 'Burbs,0,102
Michael Johnson,tt0119453,6.3,1518,movie,A Merry War,0,101
Michael Johnson,tt0119348,7.3,928,tvMiniSeries,The Ice House,0,172
Michael Johnson,tt0115305,8.6,2308,tvMiniSeries,Our Friends in the North,0,623
Michael Johnson,tt0130761,6.4,697,movie,Heart,0,85
Michael Johnson,tt0163657,5.7,21,movie,Happiness Is...,0,67
Michael Johnson,tt0111070,6.5,129565,movie,The Santa Clause,0,97
Michael Johnson,tt0110955,6.9,26078,movie,The Ref,0,97
Michael Johnson,tt0272207,7.1,42674,movie,Narc,0,105
Michael Johnson,tt1059475,7.8,18365,tvSeries,Flashpoint,0,41
Michael Johnson,tt0151137,6.4,69046,movie,The Messenger: The Story of Joan of Arc,0,158
Chris Smith,tt11697992,1.0,144,tvSeries,Chris Smith Tonight,0,60
Chris Smith,tt0181288,7.8,18993,movie,American Movie,0,107
Chris Smith,tt7214762,7.6,27558,movie,Jim & Andy: The Great Beyond,0,94
Chris Smith,tt9412098,7.2,51152,movie,Fyre,0,97
Chris Smith,tt11823076,7.5,85493,tvSeries,Tiger King,0,45
Chris Smith,tt0116289,5.4,11453,movie,Feeling Minnesota,0,99
Chris Smith,tt0102744,6.9,23932,movie,Quigley Down Under,0,119
Chris Smith,tt0094152,4.3,1108,movie,The Time Guardian,0,87
David Smith,tt0094152,4.3,1108,movie,The Time Guardian,0,87
Chris Smith,tt0089530,6.2,145117,movie,Mad Max Beyond Thunderdome,0,107
David Smith,tt0089530,6.2,145117,movie,Mad Max Beyond Thunderdome,0,107
Chris Smith,tt0108171,6.1,25170,movie,Sniper,0,98
Chris Smith,tt0120738,5.2,74359,movie,Lost in Space,0,130
Chris Smith,tt0167261,8.8,1747311,movie,The Lord of the Rings: The Two Towers,0,179
Chris Smith,tt0120737,8.8,1964780,movie,The Lord of the Rings: The Fellowship of the Ring,0,178
Chris Smith,tt0167260,9.0,1937948,movie,The Lord of the Rings: The Return of the King,0,201
Chris Smith,tt0126527,3.4,823,movie,A Night to Dismember,0,69
Chris Smith,tt0129851,5.3,141,movie,Slipping Into Darkness,0,86
Chris Smith,tt0278171,7.0,52,tvSeries,Bill Bryson: Notes from a Small Island,0,25
David Smith,tt0119051,6.9,77822,movie,The Edge,0,117
David Smith,tt0114746,8.0,639087,movie,12 Monkeys,0,129
David Smith,tt0206634,7.9,521794,movie,Children of Men,0,109
David Smith,tt0240510,6.5,35233,movie,The Four Feathers,0,132
David Smith,tt0014759,6.3,77,movie,Captain Blood,0,110
David Smith,tt0116530,8.0,12,movie,High Road,0,80
David Smith,tt0116530,8.0,12,movie,High Road,0,80
David Smith,tt0271061,8.8,4425,tvSpecial,Metallica: S&M,0,145
David Smith,tt0103893,5.7,48632,movie,Buffy the Vampire Slayer,0,86
David Smith,tt0159876,7.9,867,tvSeries,Great Performances,0,180
David Smith,tt0498964,8.1,41,tvSeries,In Concert,0,90
David Smith,tt0165042,8.7,275,tvSeries,Live from Lincoln Center,0,180
David Smith,tt0358678,8.4,107,tvSpecial,Rolling Stones: Forty Licks World Tour Live at Madison Square Garden,0,120
David Smith,tt0978075,6.3,29,tvSeries,Lateline,0,35
David Smith,tt0114024,4.2,209,movie,Object of Obsession,0,91
David Smith,tt0239352,8.6,65,tvMovie,Don Giovanni,0,191
David Smith,tt0457939,6.9,310567,movie,The Holiday,0,136
David Smith,tt2267998,8.1,1043737,movie,Gone Girl,0,149
David Smith,tt1570728,7.4,551736,movie,"Crazy, Stupid, Love.",0,118
David Smith,tt0109125,5.2,408,movie,Angel of Destruction,0,86
David Smith,tt0095556,4.6,460,movie,Lucky Stiff,0,82
David Smith,tt0114238,5.5,92,movie,Raw Target,0,92
David Smith,tt0272381,7.9,69,tvSeries,The Flaxton Boys,0,30
David Smith,tt0114537,4.8,633,video,Steel Frontier,0,105
David Smith,tt0121765,6.6,746150,movie,Star Wars: Episode II - Attack of the Clones,0,142
David Smith,tt9032400,6.3,375368,movie,Eternals,0,156
David Smith,tt2015381,8.0,1253719,movie,Guardians of the Galaxy,0,121
David Smith,tt0120915,6.5,842513,movie,Star Wars: Episode I - The Phantom Menace,0,136
David Smith,tt0098806,7.9,59,tvMiniSeries,Golden Fiddles,0,240
David Smith,tt0114503,4.4,78,movie,Soul Survivor,0,89
David Smith,tt0365927,5.6,22,movie,Whitcomb's War,0,67
David Smith,tt0220792,7.2,9,movie,Superbob,0,83
David Smith,tt0113823,7.9,38,movie,Milk and Honey,0,89
David Smith,tt0209871,5.2,199,short,The ABC's of Sex Education for Trainable Persons,0,20
David Smith,tt0111161,9.3,2830206,movie,The Shawshank Redemption,0,142
David Smith,tt0112762,4.2,708,video,Cyber-Tracker 2,0,97
David Smith,tt0114752,4.0,503,movie,Two-Bits & Pepper,0,89
David Smith,tt0114224,5.7,793,movie,Rage,0,94
David Smith,tt0219724,6.1,28,movie,Gutter Trash,0,74
David Smith,tt0237458,5.0,6,movie,Mexique mort ou vif,0,53
Michael Smith,tt0047757,7.6,851,tvSeries,The Mickey Mouse Club,0,60
Michael Smith,tt0046592,8.0,259,tvSeries,December Bride,0,30
Michael Smith,tt0054041,5.4,330,movie,Ma Barker's Killer Brood,0,89
Michael Smith,tt0063984,4.2,20,movie,The Activist,0,87
Michael Smith,tt0182996,3.8,3442,movie,Don't Go in the Woods,0,82
Michael Smith,tt0093200,6.9,6222,movie,Hollywood Shuffle,0,81
Michael Smith,tt0108551,7.3,24136,movie,What's Love Got to Do with It,0,118
Michael Smith,tt0105573,5.7,1221,movie,There Goes the Neighborhood,0,88
Michael Smith,tt0094025,6.7,28141,movie,Stakeout,0,117
Michael Smith,tt0083944,7.7,270161,movie,First Blood,0,93
Michael Smith,tt0329101,5.7,125990,movie,Freddy vs. Jason,0,97
Michael Smith,tt0120657,6.6,130552,movie,The 13th Warrior,0,102
Michael Smith,tt0824229,1.5,227,tvSeries,Today Tonight,0,30
Michael Smith,tt6518878,1.9,199,tvSeries,Paul Murray Live,0,120
Michael Smith,tt1974671,8.0,156,tvSeries,Go Back to Where You Came From,0,171
Michael Smith,tt1604928,8.3,36,tvSeries,Insight,0,60
Michael Smith,tt0240305,8.3,77,tvSeries,Where the Action Is,0,60
Michael Smith,tt0173955,8.1,13,tvSpecial,Kenny Rogers and the First Edition: Rollin' on the River,0,48
Michael Smith,tt0083539,7.5,38,movie,All by Myself: The Eartha Kitt Story,0,87
Michael Smith,tt0119685,4.9,64,movie,Mobius,0,96
Michael Smith,tt0301212,5.5,47,tvMovie,Donner,0,30
Michael Smith,tt0093640,7.1,44724,movie,No Way Out,0,114
Michael Smith,tt0048960,6.7,29192,movie,Around the World in 80 Days,0,167
Michael Smith,tt0041308,6.4,608,movie,The Doolins of Oklahoma,0,90
Michael Smith,tt0036719,6.5,1551,movie,The Conspirators,0,101
Michael Smith,tt0157583,6.4,21748,movie,Enigma,0,119
Michael Smith,tt0114648,4.5,598,movie,Terminal Justice,0,94
Michael Smith,tt0094737,7.3,235946,movie,Big,0,104
Michael Smith,tt1001508,6.4,180402,movie,He's Just Not That Into You,0,129
Michael Smith,tt0093818,7.4,35600,movie,Radio Days,0,88
Michael Smith,tt0427392,5.9,81764,movie,The Invasion,0,99
Michael Smith,tt1594381,6.1,1208,tvSeries,Team Umizoomi,0,24
Michael Smith,tt0163929,6.9,6527,tvSeries,Blue's Clues,0,25
